City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,richards bay,-28.783,32.0377,18.81,77,0,2.81,ZA,1669748104
84,ancud,-41.8697,-73.8203,11.8,73,100,2.52,CL,1669748104
85,lata,40.1629,-8.3327,10.6,91,97,0.61,PT,1669748105
86,cascais,38.6979,-9.4215,14.17,74,20,3.13,PT,1669747896
87,khatanga,71.9667,102.5,-13.56,93,100,5.76,RU,1669748107
88,geraldton,-28.7667,114.6,21.23,88,100,3.6,AU,1669748107
89,moerai,-22.4333,-151.3333,23.51,79,82,7.12,PF,1669748108
90,barrow,71.2906,-156.7887,-15.99,78,100,5.14,US,1669747649
91,saint-leu,-21.15,55.2833,24.48,76,100,0.33,RE,1669748005
92,torrington,41.8007,-73.1212,6.46,66,65,0.45,US,1669748109
93,saint george,37.1041,-113.5841,9.88,25,0,4.47,US,1669747884
94,te anau,-45.4167,167.7167,10.45,92,100,0.35,NZ,1669748110
95,sinnamary,5.3833,-52.95,26.39,85,96,4.56,GF,1669748112
96,mackay,-21.15,149.2,24.27,90,100,2.23,AU,1669748112
97,gizo,-8.103,156.8419,27.5,76,100,1.77,SB,1669748113
98,nelson bay,-32.7167,152.15,18.33,81,0,2.24,AU,1669748114
99,bowen,-20.0167,148.2333,24.52,89,100,1.96,AU,1669748114
100,faanui,-16.4833,-151.75,26.37,76,12,5.86,PF,1669748115
101,chuy,-33.6971,-53.4616,24.58,58,0,6.52,UY,1669747872
102,wenling,28.3669,121.36,10.38,89,100,11.77,CN,1669748118
103,konstantinovskiy,57.8301,39.5899,-16.16,97,78,1.52,RU,1669748118
104,amuntai,-2.4177,115.2494,23.08,97,43,0.75,ID,1669748119
105,jeremie,18.65,-74.1167,28.14,69,33,3.62,HT,1669748120
106,puhja,58.3419,26.3147,-0.98,97,100,2.63,EE,1669748121
107,hami,42.8,93.45,-12.32,22,0,2.17,CN,1669748122
108,arraial do cabo,-22.9661,-42.0278,24.92,83,75,9.26,BR,1669747840
109,bredasdorp,-34.5322,20.0403,18.62,78,0,0.84,ZA,1669748123
110,bethel,41.3712,-73.414,6.4,61,84,1.36,US,1669748124
111,longyearbyen,78.2186,15.6401,5.91,75,40,5.14,SJ,1669748125
112,mount gambier,-37.8333,140.7667,9.21,91,48,1.24,AU,1669748125
113,klaksvik,62.2266,-6.589,5.51,86,100,3.73,FO,1669748126
114,lewistown,40.5992,-77.5714,8.52,79,100,0.0,US,1669748128
115,bontang,0.1333,117.5,25.72,86,93,1.75,ID,1669748129
116,bambous virieux,-20.3428,57.7575,24.14,78,40,1.54,MU,1669748129
117,zhigansk,66.7697,123.3711,-41.73,100,52,1.11,RU,1669748130
118,pisco,-13.7,-76.2167,22.23,78,0,4.63,PE,1669748131
119,kabanjahe,3.1001,98.4908,17.18,96,100,0.14,ID,1669748132
120,trincomalee,8.5711,81.2335,25.79,71,27,3.48,LK,1669748132
121,mar del plata,-38.0023,-57.5575,33.24,73,0,7.2,AR,1669747490
122,rusape,-18.5278,32.1284,14.95,96,100,2.86,ZW,1669748133
123,poum,-20.2333,164.0167,27.4,81,71,5.96,NC,1669748134
124,hermanus,-34.4187,19.2345,18.78,91,13,0.66,ZA,1669748135
125,matara,5.9485,80.5353,24.37,87,74,2.46,LK,1669748135
126,dingle,10.9995,122.6711,24.27,91,16,3.43,PH,1669748136
127,urucui,-7.2294,-44.5561,22.91,94,100,2.15,BR,1669748137
128,mahebourg,-20.4081,57.7,24.16,78,40,1.54,MU,1669748137
129,nangong,37.3581,115.3744,-7.56,21,71,1.93,CN,1669748138
130,grong,64.4654,12.3149,1.6,85,85,2.19,NO,1669748138
131,bandarbeyla,9.4942,50.8122,25.6,70,9,7.55,SO,1669748139
132,kualakapuas,-3.0091,114.3876,23.86,95,97,0.79,ID,1669748139
133,tuktoyaktuk,69.4541,-133.0374,-19.0,84,100,7.2,CA,1669748140
134,baghdad,33.3406,44.4009,21.95,53,100,4.63,IQ,1669748015
135,santiago,-33.4569,-70.6483,28.08,44,20,6.69,CL,1669747717
136,hobart,-42.8794,147.3294,11.14,75,40,2.57,AU,1669748142
137,gornyye klyuchi,45.25,133.5,-13.84,77,25,4.49,RU,1669748143
138,codrington,-38.2667,141.9667,9.19,93,52,2.65,AU,1669748143
139,san patricio,28.017,-97.5169,29.48,72,100,4.84,US,1669747989
140,pipri,19.8,75.5333,19.32,77,6,0.0,IN,1669748144
141,verkhnevilyuysk,63.4453,120.3167,-35.91,99,99,2.07,RU,1669748026
142,khandbari,27.3747,87.2039,13.74,73,2,1.29,NP,1669748145
143,sao filipe,14.8961,-24.4956,24.86,63,0,3.42,CV,1669748146
144,karratha,-20.7377,116.8463,25.87,69,32,4.81,AU,1669748146
145,port hedland,-20.3167,118.5667,25.03,94,75,3.6,AU,1669747938
146,iquitos,-3.7481,-73.2472,30.02,79,75,1.03,PE,1669748147
147,tiksi,71.6872,128.8694,-34.1,100,51,2.01,RU,1669748148
148,maceio,-9.6658,-35.7353,26.69,78,75,5.14,BR,1669748148
149,ziarat,30.3823,67.7282,5.56,28,0,2.74,PK,1669748149
150,chokurdakh,70.6333,147.9167,-24.77,98,100,3.92,RU,1669748149
151,pokhara,28.2333,83.9833,14.89,48,21,2.13,NP,1669748150
152,manuk mangkaw,4.8,119.85,27.75,76,100,2.11,PH,1669748151
153,cabo san lucas,22.8909,-109.9124,29.23,64,8,1.34,MX,1669748127
154,espinosa,-14.9261,-42.8192,26.28,69,100,2.89,BR,1669748151
155,carnarvon,-24.8667,113.6333,21.31,86,0,6.03,AU,1669748152
156,lima,-12.0432,-77.0282,22.14,64,75,3.09,PE,1669747519
157,lamu,-2.2717,40.902,26.16,83,49,4.81,KE,1669748066
158,dilla,6.41,38.31,17.76,58,61,2.63,ET,1669748154
159,vangaindrano,-23.35,47.6,23.18,92,100,1.9,MG,1669748154
160,lapi,17.716,121.8978,24.46,90,46,1.36,PH,1669748155
161,lebu,-37.6167,-73.65,16.42,78,98,6.32,CL,1669748155
162,ewa beach,21.3156,-158.0072,28.11,72,100,1.26,US,1669748156
163,tallahassee,30.4383,-84.2807,26.11,67,78,0.89,US,1669747985
164,lengshuijiang,27.6881,111.4294,2.42,80,100,4.34,CN,1669748157
165,saldanha,-33.0117,17.9442,19.03,93,0,2.41,ZA,1669748158
166,sistranda,63.7256,8.834,5.98,73,100,4.54,NO,1669748159
167,iskateley,67.6803,53.1512,-9.29,98,86,1.92,RU,1669748159
168,sayan,-11.1361,-77.1933,25.74,51,19,4.99,PE,1669748160
169,sisophon,13.5859,102.9737,24.51,90,35,1.42,KH,1669748160
170,leningradskiy,69.3833,178.4167,-7.31,79,100,4.47,RU,1669747866
171,katsuura,35.1333,140.3,22.01,92,100,11.43,JP,1669748161
172,pasaco,13.9772,-90.2064,29.75,65,17,3.39,GT,1669748162
173,santa cruz,-17.8,-63.1667,38.03,28,20,6.69,BO,1669747967
174,puerto baquerizo moreno,-0.9,-89.6,24.55,65,75,4.12,EC,1669748163
175,lamar,33.6668,-95.5836,24.43,66,100,9.77,US,1669747888
176,takoradi,4.8845,-1.7554,26.49,78,45,2.75,GH,1669748164
177,spearfish,44.4908,-103.8594,-5.07,47,0,10.29,US,1669748117
178,ascension,30.2169,-90.9001,28.0,80,100,5.66,US,1669748165
179,ueki,32.9,130.6833,17.29,100,100,4.83,JP,1669748166
180,dali,25.7,100.1833,8.6,86,0,1.77,CN,1669748166
181,camopi,3.1655,-52.3158,26.79,83,100,1.56,GF,1669748167
182,kijang,35.2442,129.2139,7.85,39,100,2.95,KR,1669748148
183,vila velha,-20.3297,-40.2925,24.97,83,75,5.66,BR,1669748162
184,portland,45.5234,-122.6762,4.78,95,100,3.58,US,1669747735
185,aitape,-3.1374,142.3475,25.01,88,99,1.49,PG,1669748169
186,bitlis,38.5,42.25,3.39,71,100,1.08,TR,1669748170
187,malanville,11.8685,3.3899,26.71,19,72,3.06,BJ,1669748170
188,slave lake,55.2834,-114.769,-17.01,78,0,3.09,CA,1669748171
